house_type,house_size,location,latitude,longitude,price,numBathrooms,SecurityDeposit,Status
4 BHK Apartment ,"3,750 sq ft",Bandra West,19.06158829,72.82735443,700000,4.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,450 sq ft",Powai,19.11504745,72.91234589,140000,3.0,No Deposit,Furnished
1 BHK Apartment ,650 sq ft,Mira Road East,19.29339027,72.86540222,24000,2.0,No Deposit,Semi-Furnished
2 BHK Independent House ,"1,300 sq ft",Kalyan West,21.23236847,81.61653137,14000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,050 sq ft",Malabar Hill,18.95890045,72.80997467,120000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,600 sq ft,Bandra West,19.06117058,72.83162689,55000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,350 sq ft",Cumballa Hill,18.97038841,72.80427551,110000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,150 sq ft",Seawoods,19.01296425,73.02244568,52000,2.0,No Deposit,Furnished
2 BHK Apartment ,900 sq ft,Thane West,19.21675301,72.99372864,30000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,450 sq ft",Juhu,19.10879707,72.82907867,150000,3.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,500 sq ft",Bandra West,19.05635643,72.8288269,150000,2.0,No Deposit,Furnished
2 BHK Apartment ,950 sq ft,Kandivali East,19.21415329,72.87637329,45000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,200 sq ft",Jogeshwari West,19.14003372,72.84398651,52000,2.0,No Deposit,Unfurnished
4 BHK Apartment ,"5,000 sq ft",Prabhadevi,19.01603889,72.83480072,1100000,3.0,No Deposit,Semi-Furnished
1 BHK Apartment ,654 sq ft,Ghansoli,19.12399673,72.9980545,22000,2.0," 60,000",Unfurnished
3 BHK Apartment ,"1,450 sq ft",Andheri West,19.13183212,72.83072662,95000,3.0," 3,00,000",Furnished
2 BHK Apartment ,"1,000 sq ft",Chembur,19.03247643,72.88990784,60000,2.0,No Deposit,Unfurnished
1 BHK Apartment ,610 sq ft,Vasai,19.40488052,72.83856964,10000,1.0," 50,000",Unfurnished
2 BHK Apartment ,"1,250 sq ft",Kharghar,19.04742622,73.08149719,33000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,000 sq ft",Kurla East,19.05496025,72.88444519,45000,2.0,No Deposit,Semi-Furnished
